 ,1,2,4,8,16,32
1,323,972,1070,596,410,410
2,292,889,947,591,406,413
3,300,853,755,509,335,338
4,292,855,634,450,305,308
5,292,761,517,363,255,265
6,291,697,451,302,222,214
7,320,671,398,255,174,178
8,330,601,307,226,149,158
9,389,607,354,215,144,143
10,430,591,330,196,122,129
11,453,350,335,195,130,134
12,493,613,338,184,131,141
13,490,643,337,186,139,147
14,766,663,349,195,143,146
15,1233,754,394,246,156,162
16,1515,845,453,265,199,207
17,1764,932,509,311,256,259
18,2133,1051,583,360,289,290
