 ,1,2,4,8,16,32
1,631,360,206,115,97,128
2,608,364,212,110,115,131
3,610,343,213,117,93,117
4,621,352,196,108,96,119
5,620,331,175,96,84,130
6,595,326,175,106,93,125
7,605,311,167,118,102,146
8,587,327,177,117,104,140
9,629,336,193,117,147,170
10,606,333,189,117,118,156
11,627,336,191,125,144,173
12,621,343,192,130,134,174
13,637,346,212,154,157,213
14,735,390,252,169,197,238
15,818,445,287,225,281,311
16,923,512,396,331,352,423
17,1301,721,569,418,461,581
18,1986,1159,757,538,541,739
